company,ticker,metro,state,serving_utility,ba,zone,source_type,source_url,note,lat,lon,utility_parent,utility_ticker
Meta,META,Prineville,OR,Pacific Power (PacifiCorp),PACW,,company_disclosure,https://datacenters.atmeta.com/wp-content/uploads/2025/02/Metas-Prineville-Data-Center.pdf,"TRAP, AND IT IS TIME-DEPENDENT: naive geography gives BPAT. Actual is Pacific Power (PACW). In 2019 the error was ~60 points (BPAT 0.898 vs PACW 0.297). By 2025 PACW has cleaned up sharply (0.75 vs BPAT 0.913), so the error is ~16 points. Still material, but do NOT quote the 2019-era framing as if it were current.",44.3001,-120.8447,PacifiCorp / Berkshire Hathaway Energy,BRK.B
Microsoft,MSFT,Quincy,WA,Grant County PUD,GCPD,,press,https://www.datacenterknowledge.com/hyperscalers/microsoft-s-energy-practices-in-quincy-under-fire,"TRAP, OPPOSITE DIRECTION: naive geography gives BPAT (0.913 in 2025). Actual is Grant County PUD (GCPD), which reads 1.00 -- essentially all Columbia River hydro. The naive mapping makes this site look DIRTIER than it is. Magnitude is small in 2025 (~9 points) because BPAT is also very clean.",47.2343,-119.8523,Grant County PUD (public power district),
Google,GOOGL,Moncks Corner (Berkeley County),SC,Berkeley Electric Cooperative (power from Santee Cooper),SC,,press,https://www.postandcourier.com/business/industry/santee-cooper-google-data-center-sc-electric/article_453dc24b-8d98-42ce-95c0-de176eac45dd.html,"COARSE-REGION CAVEAT, IMPORTANT. Served by Berkeley Electric Cooperative, a member of Central Electric, which buys from Santee Cooper. The SC balancing authority reads 0.056 carbon-free in 2025, which is genuinely coal- and gas-heavy -- BUT Santee Cooper's jointly-owned V.C. Summer nuclear reports under the SCEG balancing authority (0.421), not under SC. So the SC footprint understates the carbon-free content of power actually available to this site. Never present 0.056 without this caveat.",33.1960,-80.0106,Santee Cooper (South Carolina state-owned),
Meta,META,Papillion (Sarpy County),NE,Omaha Public Power District,SWPP,SWPP/OPPD,company_disclosure,https://oppdthewire.com/papillion-facebook-data-center-goes-live/,"Detector rank 7. OPPD is a ZONE of SWPP, not a BA. Meta buys wind via a dedicated OPPD rate (Rattlesnake Creek); the grid it physically draws from is still SPP.",41.1544,-96.0422,Omaha Public Power District (public),
Microsoft,MSFT,Goodyear / El Mirage,AZ,Arizona Public Service,AZPS,,press,https://www.goodyearaz.gov/Home/Components/News/News/9849,Detector rank 3. APS named as Microsoft's partner for the Goodyear/El Mirage campuses. CAUTION: AZPS generation-side figures are under investigation for a reporting artefact; demand-side rank is sound.,33.4353,-112.3576,Pinnacle West Capital,PNW
Amazon,AMZN,Loudoun County / Ashburn,VA,Dominion Energy Virginia,PJM,PJM/DOM,company_disclosure,https://rmi.org/amazon-dominion-virginia-power-reach-breakthrough-renewable-energy-agreement/,Detector rank 6. Dominion Virginia Power provides retail service to AWS's Northern Virginia data centers. NOVEC also serves parts of the region; sites outside Dominion territory are NOT covered by this row.,39.0438,-77.4874,Dominion Energy,D
Amazon,AMZN,Loudoun/Prince William (NOVEC territory),VA,Northern Virginia Electric Cooperative,PJM,PJM/DOM,press,https://dcmap.us/markets/northern-virginia/,"Separate row on purpose: NOVEC is a different serving utility from Dominion in the same metro and is building substation capacity outside Dominion's territory for AWS. Same BA/zone footprint, different retail provider.",38.8110,-77.5050,NOVEC (member-owned cooperative),
IREN,IREN,Childress,TX,AEP Texas,ERCO,,company_disclosure,https://iren.com/data-centers/childress,"TRAP, AND OUR OWN SPEC FLAGGED IT: naive geography gives SWPP. Childress County sits in the Texas Panhandle where the ERCOT/SPP boundary is irregular, and most of the Panhandle IS SPP. This site is not: it interconnects directly to ERCOT. 750 MW, converting from bitcoin to AI (Horizon 1).",,,American Electric Power,AEP
TeraWulf / Fluidstack JV,WULF,Abernathy,TX,Southwestern Public Service Company (Xcel Energy),SWPP,,press,https://www.datacenterdynamics.com/en/news/terawulf-and-fluidstack-to-develop-texas-data-center-in-google-backed-deal/,"TRAP IN THE OPPOSITE DIRECTION TO CHILDRESS: a Texas site that is NOT ERCOT. Served by Xcel/SPS, which is SPP. A Texas-implies-ERCOT mapping gets this wrong, and the two traps sit about 120 miles apart. 168 MW IT (240 MW gross), TeraWulf 51%.",,,Xcel Energy,XEL
Riot Platforms,RIOT,Rockdale,TX,Oncor Electric Delivery,ERCO,,sec_filing,https://www.sec.gov/Archives/edgar/data/1167419/000155837023009137/riot-20230331x10q.htm,DEMAND RESPONSE: Riot curtailed more than 95% of load during the August 2023 ERCOT peak and books Power and Demand Response Credits. Its load is not purely flat. See the curtailment check for what that does to our detector.,,,Sempra (80.25% of Oncor),SRE
